AC00001 Eklavya Shrestha 01/01/91 New+Baneshwor 9841895623 M 06/24/12 S 245000.00 23741.11 268741.09
AC00002 Daisy Rajbhandari 01/02/92 Jhoche+Tole,+Ktm 9849562389 F 06/24/12 S 68000.00 6725.07 74725.07
AC00003 Lionel Messi 01/01/85 Barcelona 9841561245 M 06/24/12 s 499000.00 49340.77 548340.75
AC00004 Bikram Basnet 12/11/53 Koteshwor 9843 M 06/24/12 c 1100.00 53.70 1153.70
AC00005 bikash bhandari 12/20/48 Pulchowk 987434 M 06/24/12 s 86535.00 8537.52 95072.52
AC00006 bikash subedi 12/20/23 kathmandu 987453 m 06/24/12 s 124434536.00 12276656.00 136711200.00
AC00007 vikash agarwal 12/14/86 bagbazar 9841325667 m 06/24/12 s 14000.00 1378.16 15378.17
AC00008 vicky agarwal 12/14/86 bagbazar 9876434667 m 06/24/12 s 17000.00 1673.49 18673.49
AC00009 aakash shrestha 12/12/90 dhapakhel 9841235678 m 06/24/12 s 29660.00 2919.83 32579.83
AC00010 aman kandoi 09/01/86 maitidevi 9849045213 m 06/24/12 c 56000.00 2728.10 58728.10
AC00011 asmita bajracharya 03/12/88 kumaripati 014231564 f 06/24/12 c 12000.00 584.60 12584.60
AC00012 bikash bhandari 05/04/80 kupandole 014231452 m 06/24/12 s 45000.00 4429.81 49429.81
AC00013 bhairav kandel 11/12/84 bhaktapur 014567423 m 06/24/12 c 78900.00 3843.70 82743.70
AC00014 binita paudel 10/12/88 lalitpur 9849210987 f 06/24/12 s 7800.00 767.83 8567.83
AC00015 bhabi neupane 11/11/94 dillibazaar 9841673421 m 06/24/12 c 45000.00 2192.22 47192.22
AC00016 bhushan manchanda 04/06/79 bhairahawa 014674352 m 06/24/12 c 67000.00 3263.97 70263.97
AC00017 bharti gupta 06/23/86 baluwatar 9803622987 f 06/24/12 s 14500.00 1427.38 15927.38
AC00018 dhanendra pradhan 02/22/69 dillibazaar 9841564323 m 06/24/12 s 66000.00 6497.07 72497.07
AC00019 dhirghayu rajbahak 08/03/78 bagbazar 9841234587 m 06/24/12 s 12450.00 1225.58 13675.58
AC00020 daler mehndi 06/06/66 pulchowk 014269876 m 06/24/12 s 560000.00 55126.63 615126.63
AC00021 dharmendra pradhan 08/09/77 lalitpur 9803456432 m 06/24/12 s 4530.00 445.93 4975.93
AC00022 dimple kapadia 01/01/66 biratnagar 9841000000 f 06/24/12 c 785000.00 38242.07 823242.06
AC00023 dimpy khanna 12/26/86 kantipur 9841230000 f 06/24/12 s 560000.00 55126.63 615126.63
AC00024 dalai lama 09/12/87 kathmandu 9849874523 m 06/24/12 s 45000.00 4429.81 49429.81
AC00025 dasrath ram 10/03/92 bhaktapur 014237854 m 06/24/12 s 34000.00 3346.97 37346.97
AC00026 farina manandhar 07/12/88 kupandole 9845050001 f 06/24/12 s 12000.00 1181.29 13181.29
AC00027 farhat malik 06/06/76 bhotebahal 014255508 f 06/24/12 c 34000.00 1656.35 35656.35
AC00028 farhan akhtar 04/03/65 baneshwor 9841034444 m 06/24/12 s 1250000.00 123050.51 1373050.50
AC00029 farha khan 04/03/76 gyaneshwor 9841237654 f 06/24/12 s 76000.00 7481.48 83481.48
AC00030 firoz muslim 04/22/68 bagbazar 9841210987 m 06/24/12 s 120000.00 11812.84 131812.84
AC00031 gaurav dull 01/01/87 maitidevi 98402690000 m 06/24/12 s 34000.00 3346.97 37346.97
AC00032 gulshan grover 11/12/91 ganesthan 014231625 m 06/24/12 s 42000.00 4134.49 46134.49
AC00033 ganesh prajapati 05/03/93 jwalakhel 9843215688 m 06/24/12 c 23000.00 1120.47 24120.47
AC00034 hitesh tandukar 02/21/85 lagankhel 014567843 m 06/24/12 s 23438.00 2307.37 25745.37
AC00035 himanshu gupta 11/04/90 new+road 9841234098 m 06/24/12 s 235000.00 23133.49 258133.50
AC00036 hema tandukar 05/05/87 dhobidhara 9803201354 f 06/24/12 s 5200.00 511.89 5711.89
AC00037 helen kc 08/03/79 patan 014632541 f 06/24/12 c 56000.00 2728.10 58728.10
AC00038 hari har 02/28/90 kupandole 9843789282 k 06/24/12 s 76000.00 7481.48 83481.48
AC00039 humayu sharma 02/21/87 dhaulagiri 016231546 m 06/24/12 s 45000.00 4429.81 49429.81
AC00040 himesh dalal 11/21/91 dharan 9841231623 m 06/24/12 s 4520.00 444.95 4964.95
AC00041 ishika kandoi 03/05/76 nepalgunj 9841231624 f 06/24/12 c 32000.00 1558.92 33558.92
AC00042 isha mankavya 12/12/87 rajmarg 9840234000 f 06/24/12 s 34000.00 3346.97 37346.97
AC00043 imran ahmed 10/04/66 dillibazar 9804507666 m 06/24/12 s 23000.00 2264.12 25264.13
AC00044 jaswant ghimire 12/12/78 butwal 9841239087 m 06/24/12 s 23780.00 2340.90 26120.90
AC00045 jaya pandey 11/12/88 dharan 014768787 m 06/24/12 s 23333.00 2296.91 25629.91
AC00046 jivan khatiwada 10/10/77 mangal+bazaar 9856435261 m 06/24/12 s 12500.00 1230.51 13730.51
AC00047 jigar maharjan 03/18/57 dhankuta 9841235876 m 06/24/12 s 78065.00 7684.76 85749.76
AC00048 jackie maskey 11/15/94 patan 9841354982 m 06/24/12 s 35000.00 3445.41 38445.41
AC00049 jina maharjan 09/09/82 siddharthanagar 9851089765 f 06/24/12 c 3400.00 165.63 3565.63
AC00050 julie bhatia 05/22/75 lagankhel 9843568752 f 06/24/12 s 1000.00 98.45 1098.45
AC00051 mids maskey 11/22/92 pulchowk 9841231534 f 06/24/12 s 1205000.00 118620.75 1323620.75
AC00052 john sapkota 11/12/79 kirtipur 9841237645 m 06/24/12 s 23987.00 2356.03 26343.03
AC00053 Ravi Agr 03/07/90 Bagbazar 9849210757 M 06/24/12 s 170000.00 16697.63 186697.63
AC00054 Bikram Basnet 08/05/91 pulchowk 9841231452 m 06/24/12 c 35999.00 1749.78 37748.79
AC00055 abhibandhu kafle 10/10/91 maharajgunj 014231562 m 06/24/12 c 56000.00 2721.96 58721.96
AC00056 Navina Shrestha 09/22/90 Kirtipur 9841863019 F 06/24/12 s 25000.00 2455.52 27455.52
AC00057 leeqwan gautam 09/12/91 ason 014259425 m 06/24/12 s 12000.00 1178.66 13178.66
AC00058 Mohammad Hasan 12/12/82 pokhara 9841259424 m 06/24/12 s 67000.00 6580.83 73580.83
AC00059 Alok Singh 03/08/90 dhobhidhara 9841231789 m 06/24/12 s 230900.00 22679.28 253579.28
AC00060 Dinesh maharjan 12/12/89 bagbazar 9841235098 m 06/24/12 s 23000.00 2259.08 25259.08
AC00061 dipesh shrestha 11/11/91 dallu 9849142784 m 06/24/12 c 4200.00 204.15 4404.15
AC00062 Ritesh shakya 03/07/90 chhetrapati 9841259259 m 06/24/12 s 17000.00 1669.76 18669.76
AC00063 basanta maharjan 03/03/93 chhetrapati 9841890657 m 06/24/12 c 456660.00 22196.59 478856.59
AC00064 Mansa Maharjan 08/09/90 maitidevi 9841230890 f 06/24/12 s 2100.00 206.26 2306.26
AC00065 Prajina Tandukar 12/12/92 Birgunj 9803045621 f 06/24/12 s 3400.00 333.95 3733.95
AC00066 Abhilasha Bajracharya 03/12/90 pulchowl 9801237594 f 06/24/12 s 1200.00 117.86 1317.86
AC00067 Masini Khadka 09/10/88 kupandole 014231454 f 06/24/12 c 23500.00 1142.25 24642.25
AC00068 nawaraj bhandar 10/10/91 chabahil 016912746 m 06/24/12 s 51000.00 5009.28 56009.28
AC00069 Pramod Acharya 09/09/90 chabahil 01448456 m 06/24/12 s 64000.00 6286.16 70286.16
AC00070 Narayan Badal 11/10/87 pokhara 9841785098 m 06/24/12 s 22000.00 2160.87 24160.87
AC00071 Mahesh Karki 04/09/88 dillibazar 9841077432 m 06/24/12 c 55000.00 2673.34 57673.34
AC00072 Sharmila Aryal 02/08/77 butwal 9803022987 f 06/24/12 c 33000.00 1604.01 34604.01
